claim_id_antigo	claim_id_novo	familia	termo	status	fonte
hwa-10.2.8-sec-0033	hwa-10.2.8-sec-sso-key-share-0033	sec	sso-key-share	apply	manual
hwa-10.2.8-securityfile-0001	hwa-10.2.8-securityfile-security-file-auth-0001	securityfile	security-file-auth	apply	manual
hwa-10.2.8-stdlist-0002	hwa-10.2.8-stdlist-stdlist-stdout-stderr-0002	stdlist	stdlist-stdout-stderr	apply	manual
hwa-10.2.8-tls-0001	hwa-10.2.8-tls-ssl-default-install-0001	tls	ssl-default-install	apply	manual
hwa-10.2.8-tls-0002	hwa-10.2.8-tls-ssl-mdm-backup-0002	tls	ssl-mdm-backup	apply	manual
hwa-10.2.8-useropts-0001	hwa-10.2.8-useropts-useropts-connection-0001	useropts	useropts-connection	apply	manual
hwa-10.2.8-vm-0009	hwa-10.2.8-vm-component-terminology-0009	vm	component-terminology	apply	manual
hwa-10.2.8-vm-0013	hwa-10.2.8-vm-conman-distributed-only-0013	vm	conman-distributed-only	apply	manual
hwa-10.2.8-wsa-0009	hwa-10.2.8-wsa-critical-keyword-0009	wsa	critical-keyword	apply	manual
hwa-10.2.8-wsa-0022	hwa-10.2.8-wsa-localopts-wsa-0022	wsa	localopts-wsa	apply	manual
hwa-10.2.8-wsa-0031	hwa-10.2.8-wsa-srvclass-srvpol-zos-0031	wsa	srvclass-srvpol-zos	apply	manual
hwa-8.3-clisslserverauth-0002	hwa-8.3-clisslserverauth-clisslserverauth-expiry-0002	clisslserverauth	clisslserverauth-expiry	apply	manual
hwa-10.2.8-wsa-pool-0032	hwa-10.2.8-dynamic-pool-job-promotion-0032	vm	dynamic-pool-job-promotion	apply	manual
hwa-distributed-rest-twsd-31116-human-approved-001	hwa-distributed-rest-api-v2-base-url-0001	rest	twsd-base-url	apply	manual
hwa-planman-syntax-gap-0047	hwa-planman-showinfo-resync-unlock-0047	planman	showinfo-resync-unlock	apply	manual
hwa-themaster-domain-manager-0002	hwa-master-domain-manager-registered-master-0002	mdm	registered-master	apply	manual
